Year,Month,Day,Hour,SunlightMin,HourlySkyWeather,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed,SunriseHour,SunriseMin,SunsetHour,SunsetMin
2017,9,16,0,747,CLR,7.0,0,0.0,5,37,18,4
2017,9,16,1,747,CLR,6.0,0,0.0,5,37,18,4
2017,9,16,2,747,CLR,4.0,40,3.0,5,37,18,4
2017,9,16,3,747,CLR,3.0,50,3.0,5,37,18,4
2017,9,16,4,747,CLR,3.0,0,0.0,5,37,18,4
2017,9,16,5,747,SCT,2.5,0,0.0,5,37,18,4
2017,9,16,6,747,BKN,1.25,60,3.0,5,37,18,4
2017,9,16,7,747,OVC,2.0,60,5.0,5,37,18,4
2017,9,16,8,747,OVC,4.0,False,5.0,5,37,18,4
2017,9,16,9,747,BKN,5.0,False,7.0,5,37,18,4
2017,9,16,10,747,SCT,5.0,False,3.0,5,37,18,4
2017,9,16,11,747,BKN,5.0,60,8.0,5,37,18,4
2017,9,16,12,747,SCT,6.0,False,6.0,5,37,18,4
2017,9,16,13,747,CLR,7.0,False,3.0,5,37,18,4
2017,9,16,14,747,CLR,8.0,50,3.0,5,37,18,4
2017,9,16,15,747,FEW,9.0,False,3.0,5,37,18,4
2017,9,16,16,747,FEW,10.0,0,0.0,5,37,18,4
2017,9,16,17,747,CLR,10.0,0,0.0,5,37,18,4
2017,9,16,18,747,CLR,10.0,0,0.0,5,37,18,4
2017,9,16,19,744,CLR,9.0,160,3.0,5,38,18,2
2017,9,16,20,744,CLR,8.0,0,0.0,5,38,18,2
2017,9,16,21,744,CLR,6.0,50,3.0,5,38,18,2
2017,9,16,22,744,BKN,6.0,290,3.0,5,38,18,2
2017,9,16,23,744,SCT,5.0,0,0.0,5,38,18,2
2017,9,17,0,744,CLR,4.0,0,0.0,5,38,18,2
2017,9,17,1,744,CLR,2.5,0,0.0,5,38,18,2
2017,9,17,2,744,FEW,3.0,0,0.0,5,38,18,2
2017,9,17,3,744,OVC,3.0,0,0.0,5,38,18,2
2017,9,17,4,744,OVC,3.0,0,0.0,5,38,18,2
2017,9,17,5,744,BKN,3.0,0,0.0,5,38,18,2
2017,9,17,6,744,OVC,2.0,0,0.0,5,38,18,2
2017,9,17,7,744,OVC,2.5,0,0.0,5,38,18,2
2017,9,17,8,744,BKN,3.0,False,3.0,5,38,18,2
2017,9,17,9,744,BKN,4.0,70,5.0,5,38,18,2
2017,9,17,10,744,FEW,5.0,60,5.0,5,38,18,2
2017,9,17,11,744,BKN,5.0,60,3.0,5,38,18,2
2017,9,17,12,744,BKN,6.0,30,3.0,5,38,18,2
2017,9,17,13,744,SCT,7.0,360,5.0,5,38,18,2
2017,9,17,14,744,CLR,10.0,60,7.0,5,38,18,2
2017,9,17,15,744,CLR,9.0,180,5.0,5,38,18,2
2017,9,17,16,744,CLR,9.0,False,3.0,5,38,18,2
2017,9,17,17,744,CLR,9.0,180,6.0,5,38,18,2
2017,9,17,18,744,CLR,9.0,False,5.0,5,38,18,2
2017,9,17,19,741,CLR,8.0,0,0.0,5,39,18,0
2017,9,17,20,741,FEW,8.0,False,3.0,5,39,18,0
2017,9,17,21,741,BKN,7.0,0,0.0,5,39,18,0
2017,9,17,22,741,OVC,6.0,0,0.0,5,39,18,0
2017,9,17,23,741,OVC,7.0,0,0.0,5,39,18,0
2017,9,18,0,741,SCT,6.0,0,0.0,5,39,18,0
2017,9,18,1,741,BKN,6.0,80,6.0,5,39,18,0
2017,9,18,2,741,BKN,10.0,False,5.0,5,39,18,0
2017,9,18,3,741,OVC,10.0,70,6.0,5,39,18,0
2017,9,18,4,741,OVC,10.0,False,6.0,5,39,18,0
2017,9,18,5,741,OVC,10.0,False,6.0,5,39,18,0
2017,9,18,6,741,OVC,10.0,False,7.0,5,39,18,0
2017,9,18,7,741,BKN,6.0,70,6.0,5,39,18,0
2017,9,18,8,741,OVC,10.0,False,3.0,5,39,18,0
2017,9,18,9,741,OVC,10.0,False,6.0,5,39,18,0
2017,9,18,10,741,OVC,10.0,60,9.0,5,39,18,0
2017,9,18,11,741,OVC,10.0,False,9.0,5,39,18,0
2017,9,18,12,741,OVC,10.0,60,11.0,5,39,18,0
2017,9,18,13,741,OVC,10.0,False,7.0,5,39,18,0
2017,9,18,14,741,BKN,10.0,70,10.0,5,39,18,0
2017,9,18,15,741,BKN,10.0,80,6.0,5,39,18,0
2017,9,18,16,741,SCT,10.0,120,5.0,5,39,18,0
2017,9,18,17,741,BKN,10.0,False,7.0,5,39,18,0
2017,9,18,18,741,BKN,10.0,90,8.0,5,39,18,0
2017,9,18,19,739,FEW,10.0,70,7.0,5,40,17,59
2017,9,18,20,739,OVC,10.0,70,7.0,5,40,17,59
2017,9,18,21,739,OVC,10.0,60,9.0,5,40,17,59
2017,9,18,22,739,OVC,10.0,False,8.0,5,40,17,59
2017,9,18,23,739,OVC,10.0,70,9.0,5,40,17,59
2017,9,19,0,739,OVC,10.0,False,7.0,5,40,17,59
2017,9,19,1,739,OVC,10.0,False,9.0,5,40,17,59
2017,9,19,2,739,OVC,10.0,60,9.0,5,40,17,59
2017,9,19,3,739,OVC,10.0,False,8.0,5,40,17,59
2017,9,19,4,739,OVC,10.0,False,5.0,5,40,17,59
2017,9,19,5,739,OVC,10.0,False,8.0,5,40,17,59
2017,9,19,6,739,OVC,10.0,False,8.0,5,40,17,59
2017,9,19,7,739,OVC,10.0,False,10.0,5,40,17,59
2017,9,19,8,739,OVC,10.0,False,8.0,5,40,17,59
2017,9,19,9,739,BKN,10.0,False,9.0,5,40,17,59
2017,9,19,10,739,BKN,10.0,False,11.0,5,40,17,59
2017,9,19,11,739,BKN,10.0,False,16.0,5,40,17,59
2017,9,19,12,739,SCT,10.0,60,10.0,5,40,17,59
2017,9,19,13,739,OVC,10.0,False,14.0,5,40,17,59
2017,9,19,14,739,FEW,2.5,False,13.0,5,40,17,59
2017,9,19,15,739,FEW,4.0,False,8.0,5,40,17,59
2017,9,19,16,739,OVC,7.0,False,9.0,5,40,17,59
2017,9,19,17,739,SCT,9.0,False,14.0,5,40,17,59
2017,9,19,18,739,OVC,10.0,30,8.0,5,40,17,59
2017,9,19,19,736,OVC,10.0,False,14.0,5,41,17,57
2017,9,19,20,736,BKN,10.0,50,9.0,5,41,17,57
2017,9,19,21,736,BKN,10.0,40,9.0,5,41,17,57
2017,9,19,22,736,OVC,10.0,False,9.0,5,41,17,57
2017,9,19,23,736,OVC,10.0,50,11.0,5,41,17,57
2017,9,20,0,736,OVC,10.0,40,9.0,5,41,17,57
2017,9,20,1,736,OVC,10.0,False,5.0,5,41,17,57
2017,9,20,2,736,OVC,10.0,False,13.0,5,41,17,57
2017,9,20,3,736,BKN,10.0,False,6.0,5,41,17,57
2017,9,20,4,736,BKN,10.0,False,8.0,5,41,17,57
2017,9,20,5,736,SCT,10.0,False,6.0,5,41,17,57
2017,9,20,6,736,BKN,10.0,10,13.0,5,41,17,57
2017,9,20,7,736,SCT,10.0,False,10.0,5,41,17,57
2017,9,20,8,736,SCT,10.0,False,9.0,5,41,17,57
2017,9,20,9,736,BKN,10.0,False,3.0,5,41,17,57
2017,9,20,10,736,BKN,10.0,False,6.0,5,41,17,57
2017,9,20,11,736,SCT,10.0,False,11.0,5,41,17,57
2017,9,20,12,736,SCT,10.0,False,7.0,5,41,17,57
2017,9,20,13,736,FEW,10.0,False,5.0,5,41,17,57
2017,9,20,14,736,SCT,10.0,False,9.0,5,41,17,57
2017,9,20,15,736,BKN,10.0,False,7.0,5,41,17,57
2017,9,20,16,736,FEW,10.0,False,6.0,5,41,17,57
2017,9,20,17,736,CLR,10.0,50,6.0,5,41,17,57
2017,9,20,18,736,CLR,10.0,False,NaN,5,41,17,57
2017,9,20,19,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,20,20,733,CLR,10.0,False,6.0,5,42,17,55
2017,9,20,21,733,CLR,10.0,False,6.0,5,42,17,55
2017,9,20,22,733,CLR,10.0,False,3.0,5,42,17,55
2017,9,20,23,733,CLR,10.0,0,0.0,5,42,17,55
2017,9,21,0,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,21,1,733,CLR,10.0,False,6.0,5,42,17,55
2017,9,21,2,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,21,3,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,21,4,733,CLR,10.0,350,6.0,5,42,17,55
2017,9,21,5,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,21,6,733,CLR,10.0,False,3.0,5,42,17,55
2017,9,21,7,733,CLR,10.0,False,6.0,5,42,17,55
2017,9,21,8,733,CLR,10.0,False,6.0,5,42,17,55
2017,9,21,9,733,CLR,10.0,False,7.0,5,42,17,55
2017,9,21,10,733,CLR,10.0,False,NaN,5,42,17,55
2017,9,21,11,733,CLR,10.0,False,8.0,5,42,17,55
2017,9,21,12,733,CLR,10.0,False,3.0,5,42,17,55
2017,9,21,13,733,CLR,10.0,False,3.0,5,42,17,55
2017,9,21,14,733,CLR,10.0,False,7.0,5,42,17,55
2017,9,21,15,733,CLR,10.0,60,7.0,5,42,17,55
2017,9,21,16,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,21,17,733,CLR,10.0,False,7.0,5,42,17,55
2017,9,21,18,733,CLR,10.0,False,5.0,5,42,17,55
2017,9,21,19,730,CLR,10.0,False,7.0,5,43,17,53
2017,9,21,20,730,FEW,10.0,False,7.0,5,43,17,53
2017,9,21,21,730,CLR,10.0,False,5.0,5,43,17,53
2017,9,21,22,730,CLR,10.0,False,3.0,5,43,17,53
2017,9,21,23,730,CLR,10.0,False,7.0,5,43,17,53
2017,9,22,0,730,CLR,10.0,False,9.0,5,43,17,53
2017,9,22,1,730,CLR,10.0,False,8.0,5,43,17,53
2017,9,22,2,730,CLR,10.0,False,6.0,5,43,17,53
2017,9,22,3,730,CLR,10.0,False,6.0,5,43,17,53
2017,9,22,4,730,CLR,10.0,False,8.0,5,43,17,53
2017,9,22,5,730,CLR,10.0,20,7.0,5,43,17,53
2017,9,22,6,730,CLR,10.0,0,0.0,5,43,17,53
2017,9,22,7,730,CLR,10.0,False,8.0,5,43,17,53
2017,9,22,8,730,CLR,10.0,False,7.0,5,43,17,53
2017,9,22,9,730,CLR,10.0,False,6.0,5,43,17,53
2017,9,22,10,730,CLR,10.0,False,6.0,5,43,17,53
2017,9,22,11,730,CLR,10.0,False,6.0,5,43,17,53
2017,9,22,12,730,FEW,10.0,False,10.0,5,43,17,53
2017,9,22,13,730,CLR,10.0,350,9.0,5,43,17,53
2017,9,22,14,730,CLR,10.0,False,9.0,5,43,17,53
2017,9,22,15,730,SCT,10.0,False,8.0,5,43,17,53
2017,9,22,16,730,FEW,10.0,False,7.0,5,43,17,53
2017,9,22,17,730,BKN,10.0,50,9.0,5,43,17,53
2017,9,22,18,730,FEW,10.0,False,6.0,5,43,17,53
2017,9,22,19,728,CLR,10.0,False,9.0,5,44,17,52
2017,9,22,20,728,CLR,10.0,60,7.0,5,44,17,52
2017,9,22,21,728,CLR,10.0,False,7.0,5,44,17,52
2017,9,22,22,728,CLR,10.0,False,7.0,5,44,17,52
2017,9,22,23,728,CLR,10.0,False,6.0,5,44,17,52
2017,9,23,0,728,SCT,10.0,False,8.0,5,44,17,52
2017,9,23,1,728,BKN,10.0,False,7.0,5,44,17,52
2017,9,23,2,728,SCT,10.0,False,6.0,5,44,17,52
2017,9,23,3,728,CLR,10.0,False,3.0,5,44,17,52
2017,9,23,4,728,CLR,10.0,0,0.0,5,44,17,52
2017,9,23,5,728,CLR,10.0,False,6.0,5,44,17,52
2017,9,23,6,728,CLR,10.0,False,5.0,5,44,17,52
2017,9,23,7,728,CLR,10.0,False,6.0,5,44,17,52
2017,9,23,8,728,CLR,10.0,False,3.0,5,44,17,52
2017,9,23,9,728,CLR,10.0,False,3.0,5,44,17,52
2017,9,23,10,728,CLR,10.0,False,7.0,5,44,17,52
2017,9,23,11,728,CLR,10.0,350,10.0,5,44,17,52
2017,9,23,12,728,CLR,10.0,False,5.0,5,44,17,52
2017,9,23,13,728,CLR,10.0,50,8.0,5,44,17,52
2017,9,23,14,728,CLR,10.0,False,8.0,5,44,17,52
2017,9,23,15,728,CLR,10.0,40,9.0,5,44,17,52
2017,9,23,16,728,CLR,10.0,40,7.0,5,44,17,52
2017,9,23,17,728,CLR,10.0,10,5.0,5,44,17,52
2017,9,23,18,728,CLR,10.0,350,3.0,5,44,17,52
2017,9,23,19,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,23,20,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,23,21,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,23,22,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,23,23,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,0,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,1,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,2,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,3,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,4,725,CLR,10.0,280,3.0,5,45,17,50
2017,9,24,5,725,CLR,10.0,False,3.0,5,45,17,50
2017,9,24,6,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,7,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,8,725,CLR,10.0,False,5.0,5,45,17,50
2017,9,24,9,725,CLR,10.0,False,3.0,5,45,17,50
2017,9,24,10,725,CLR,10.0,False,3.0,5,45,17,50
2017,9,24,11,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,12,725,CLR,10.0,False,3.0,5,45,17,50
2017,9,24,13,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,14,725,CLR,10.0,20,6.0,5,45,17,50
2017,9,24,15,725,CLR,10.0,80,5.0,5,45,17,50
2017,9,24,16,725,CLR,10.0,170,3.0,5,45,17,50
2017,9,24,17,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,18,725,CLR,10.0,0,0.0,5,45,17,50
2017,9,24,19,722,CLR,10.0,170,3.0,5,46,17,48
2017,9,24,20,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,24,21,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,24,22,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,24,23,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,0,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,1,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,2,722,CLR,10.0,50,3.0,5,46,17,48
2017,9,25,3,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,4,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,5,722,CLR,10.0,60,3.0,5,46,17,48
2017,9,25,6,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,7,722,CLR,9.0,0,0.0,5,46,17,48
2017,9,25,8,722,CLR,9.0,50,6.0,5,46,17,48
2017,9,25,9,722,CLR,10.0,50,8.0,5,46,17,48
2017,9,25,10,722,CLR,10.0,False,5.0,5,46,17,48
2017,9,25,11,722,CLR,9.0,50,6.0,5,46,17,48
2017,9,25,12,722,CLR,10.0,False,5.0,5,46,17,48
2017,9,25,13,722,CLR,10.0,70,6.0,5,46,17,48
2017,9,25,14,722,CLR,10.0,70,6.0,5,46,17,48
2017,9,25,15,722,CLR,10.0,False,6.0,5,46,17,48
2017,9,25,16,722,CLR,10.0,False,5.0,5,46,17,48
2017,9,25,17,722,CLR,10.0,False,NaN,5,46,17,48
2017,9,25,18,722,CLR,10.0,0,0.0,5,46,17,48
2017,9,25,19,720,CLR,10.0,160,6.0,5,47,17,47
2017,9,25,20,720,CLR,10.0,0,0.0,5,47,17,47
2017,9,25,21,720,CLR,10.0,0,0.0,5,47,17,47
2017,9,25,22,720,CLR,10.0,30,3.0,5,47,17,47
2017,9,25,23,720,CLR,10.0,0,0.0,5,47,17,47
2017,9,26,0,720,CLR,10.0,0,0.0,5,47,17,47
2017,9,26,1,720,BKN,10.0,False,3.0,5,47,17,47
2017,9,26,2,720,OVC,10.0,False,3.0,5,47,17,47
2017,9,26,3,720,FEW,10.0,40,3.0,5,47,17,47
2017,9,26,4,720,FEW,9.0,0,0.0,5,47,17,47
2017,9,26,5,720,CLR,10.0,False,3.0,5,47,17,47
2017,9,26,6,720,FEW,8.0,60,5.0,5,47,17,47
2017,9,26,7,720,BKN,7.0,0,0.0,5,47,17,47
2017,9,26,8,720,OVC,9.0,0,0.0,5,47,17,47
2017,9,26,9,720,OVC,10.0,0,0.0,5,47,17,47
2017,9,26,10,720,SCT,10.0,0,0.0,5,47,17,47
2017,9,26,11,720,CLR,10.0,70,6.0,5,47,17,47
2017,9,26,12,720,CLR,10.0,False,NaN,5,47,17,47
2017,9,26,13,720,CLR,10.0,60,6.0,5,47,17,47
2017,9,26,14,720,CLR,10.0,False,3.0,5,47,17,47
2017,9,26,15,720,CLR,10.0,110,3.0,5,47,17,47
2017,9,26,16,720,CLR,10.0,0,0.0,5,47,17,47
2017,9,26,17,720,CLR,10.0,False,3.0,5,47,17,47
2017,9,26,18,720,CLR,10.0,False,3.0,5,47,17,47
2017,9,26,19,717,CLR,10.0,0,0.0,5,48,17,45
2017,9,26,20,717,CLR,10.0,0,0.0,5,48,17,45
2017,9,26,21,717,CLR,10.0,0,0.0,5,48,17,45
2017,9,26,22,717,CLR,10.0,0,0.0,5,48,17,45
2017,9,26,23,717,CLR,10.0,40,3.0,5,48,17,45
2017,9,27,0,717,CLR,10.0,False,5.0,5,48,17,45
2017,9,27,1,717,CLR,10.0,0,0.0,5,48,17,45
2017,9,27,2,717,BKN,10.0,False,3.0,5,48,17,45
2017,9,27,3,717,FEW,10.0,30,3.0,5,48,17,45
2017,9,27,4,717,CLR,10.0,80,5.0,5,48,17,45
2017,9,27,5,717,BKN,10.0,False,3.0,5,48,17,45
2017,9,27,6,717,BKN,10.0,50,6.0,5,48,17,45
2017,9,27,7,717,BKN,10.0,60,5.0,5,48,17,45
2017,9,27,8,717,OVC,10.0,60,5.0,5,48,17,45
2017,9,27,9,717,SCT,10.0,60,6.0,5,48,17,45
2017,9,27,10,717,CLR,10.0,60,5.0,5,48,17,45
2017,9,27,11,717,CLR,10.0,110,7.0,5,48,17,45
2017,9,27,12,717,SCT,10.0,False,6.0,5,48,17,45
2017,9,27,13,717,CLR,10.0,False,7.0,5,48,17,45
2017,9,27,14,717,CLR,10.0,0,0.0,5,48,17,45
2017,9,27,15,717,CLR,10.0,60,6.0,5,48,17,45
2017,9,27,16,717,FEW,10.0,60,7.0,5,48,17,45
2017,9,27,17,717,CLR,10.0,110,7.0,5,48,17,45
2017,9,27,18,717,CLR,10.0,60,5.0,5,48,17,45
2017,9,27,19,714,CLR,10.0,False,6.0,5,49,17,43
2017,9,27,20,714,CLR,10.0,0,0.0,5,49,17,43
2017,9,27,21,714,CLR,10.0,0,0.0,5,49,17,43
2017,9,27,22,714,CLR,10.0,50,3.0,5,49,17,43
2017,9,27,23,714,FEW,9.0,80,5.0,5,49,17,43
2017,9,28,0,714,BKN,8.0,70,5.0,5,49,17,43
2017,9,28,1,714,OVC,8.0,0,0.0,5,49,17,43
2017,9,28,2,714,OVC,7.0,False,6.0,5,49,17,43
2017,9,28,3,714,OVC,7.0,False,6.0,5,49,17,43
2017,9,28,4,714,SCT,10.0,False,6.0,5,49,17,43
2017,9,28,5,714,SCT,10.0,340,5.0,5,49,17,43
2017,9,28,6,714,SCT,10.0,False,3.0,5,49,17,43
2017,9,28,7,714,BKN,10.0,False,9.0,5,49,17,43
2017,9,28,8,714,SCT,10.0,False,5.0,5,49,17,43
2017,9,28,9,714,CLR,10.0,False,6.0,5,49,17,43
2017,9,28,10,714,CLR,10.0,False,7.0,5,49,17,43
2017,9,28,11,714,CLR,10.0,False,9.0,5,49,17,43
2017,9,28,12,714,CLR,10.0,False,NaN,5,49,17,43
2017,9,28,13,714,CLR,10.0,False,7.0,5,49,17,43
2017,9,28,14,714,CLR,10.0,False,14.0,5,49,17,43
2017,9,28,15,714,CLR,10.0,False,NaN,5,49,17,43
2017,9,28,16,714,CLR,10.0,False,10.0,5,49,17,43
2017,9,28,17,714,CLR,10.0,False,3.0,5,49,17,43
2017,9,28,18,714,CLR,10.0,False,3.0,5,49,17,43
2017,9,28,19,712,CLR,10.0,20,3.0,5,50,17,42
2017,9,28,20,712,CLR,10.0,False,NaN,5,50,17,42
2017,9,28,21,712,CLR,10.0,False,6.0,5,50,17,42
2017,9,28,22,712,CLR,10.0,False,3.0,5,50,17,42
2017,9,28,23,712,CLR,10.0,False,7.0,5,50,17,42
2017,9,29,0,712,CLR,10.0,False,3.0,5,50,17,42
2017,9,29,1,712,CLR,10.0,0,0.0,5,50,17,42
2017,9,29,2,712,CLR,10.0,0,0.0,5,50,17,42
2017,9,29,3,712,CLR,10.0,0,0.0,5,50,17,42
2017,9,29,4,712,CLR,10.0,320,5.0,5,50,17,42
2017,9,29,5,712,CLR,10.0,0,0.0,5,50,17,42
2017,9,29,6,712,CLR,10.0,290,3.0,5,50,17,42
2017,9,29,7,712,CLR,10.0,20,3.0,5,50,17,42
2017,9,29,8,712,CLR,10.0,50,3.0,5,50,17,42
2017,9,29,9,712,CLR,10.0,False,3.0,5,50,17,42
2017,9,29,10,712,BKN,10.0,250,5.0,5,50,17,42
2017,9,29,11,712,BKN,10.0,0,0.0,5,50,17,42
2017,9,29,12,712,OVC,9.0,0,0.0,5,50,17,42
2017,9,29,13,712,OVC,10.0,300,6.0,5,50,17,42
2017,9,29,14,712,SCT,10.0,280,6.0,5,50,17,42
2017,9,29,15,712,FEW,10.0,False,3.0,5,50,17,42
2017,9,29,16,712,CLR,10.0,290,7.0,5,50,17,42
2017,9,29,17,712,CLR,10.0,280,5.0,5,50,17,42
2017,9,29,18,712,CLR,10.0,0,0.0,5,50,17,42
2017,9,29,19,709,CLR,10.0,0,0.0,5,51,17,40
2017,9,29,20,709,CLR,10.0,0,0.0,5,51,17,40
2017,9,29,21,709,CLR,10.0,0,0.0,5,51,17,40
2017,9,29,22,709,OVC,10.0,False,3.0,5,51,17,40
2017,9,29,23,709,OVC,10.0,False,3.0,5,51,17,40
2017,9,30,0,709,BKN,10.0,0,0.0,5,51,17,40
2017,9,30,1,709,FEW,10.0,0,0.0,5,51,17,40
2017,9,30,2,709,CLR,10.0,0,0.0,5,51,17,40
2017,9,30,3,709,CLR,10.0,280,3.0,5,51,17,40
2017,9,30,4,709,BKN,10.0,0,0.0,5,51,17,40
2017,9,30,5,709,FEW,10.0,False,3.0,5,51,17,40
2017,9,30,6,709,SCT,10.0,280,5.0,5,51,17,40
2017,9,30,7,709,SCT,10.0,False,6.0,5,51,17,40
2017,9,30,8,709,FEW,10.0,False,NaN,5,51,17,40
2017,9,30,9,709,BKN,10.0,0,0.0,5,51,17,40
2017,9,30,10,709,SCT,10.0,False,3.0,5,51,17,40
2017,9,30,11,709,BKN,10.0,50,6.0,5,51,17,40
2017,9,30,12,709,BKN,10.0,False,8.0,5,51,17,40
2017,9,30,13,709,BKN,9.0,50,13.0,5,51,17,40
2017,9,30,14,709,SCT,10.0,False,11.0,5,51,17,40
2017,9,30,15,709,SCT,10.0,False,8.0,5,51,17,40
2017,9,30,16,709,BKN,10.0,False,7.0,5,51,17,40
2017,9,30,17,709,BKN,10.0,False,11.0,5,51,17,40
2017,9,30,18,709,SCT,10.0,False,8.0,5,51,17,40
2017,9,30,19,706,SCT,10.0,False,5.0,5,52,17,38
2017,9,30,20,706,BKN,10.0,False,5.0,5,52,17,38
2017,9,30,21,706,SCT,10.0,50,9.0,5,52,17,38
2017,9,30,22,706,BKN,10.0,False,7.0,5,52,17,38
2017,9,30,23,706,FEW,10.0,60,11.0,5,52,17,38
2017,10,1,0,706,FEW,10.0,False,7.0,5,52,17,38
2017,10,1,1,706,BKN,10.0,False,6.0,5,52,17,38
2017,10,1,2,706,OVC,10.0,60,6.0,5,52,17,38
2017,10,1,3,706,SCT,10.0,60,6.0,5,52,17,38
2017,10,1,4,706,SCT,10.0,False,3.0,5,52,17,38
2017,10,1,5,706,CLR,10.0,False,3.0,5,52,17,38
2017,10,1,6,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,7,706,CLR,10.0,False,6.0,5,52,17,38
2017,10,1,8,706,CLR,10.0,70,8.0,5,52,17,38
2017,10,1,9,706,CLR,10.0,False,5.0,5,52,17,38
2017,10,1,10,706,CLR,10.0,60,6.0,5,52,17,38
2017,10,1,11,706,CLR,10.0,50,5.0,5,52,17,38
2017,10,1,12,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,13,706,CLR,10.0,False,3.0,5,52,17,38
2017,10,1,14,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,15,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,16,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,17,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,18,706,CLR,10.0,0,0.0,5,52,17,38
2017,10,1,19,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,1,20,704,CLR,10.0,290,3.0,5,53,17,37
2017,10,1,21,704,CLR,10.0,280,3.0,5,53,17,37
2017,10,1,22,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,1,23,704,CLR,10.0,290,5.0,5,53,17,37
2017,10,2,0,704,CLR,10.0,300,3.0,5,53,17,37
2017,10,2,1,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,2,704,CLR,10.0,False,6.0,5,53,17,37
2017,10,2,3,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,4,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,5,704,CLR,10.0,280,3.0,5,53,17,37
2017,10,2,6,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,7,704,CLR,10.0,70,6.0,5,53,17,37
2017,10,2,8,704,CLR,10.0,False,5.0,5,53,17,37
2017,10,2,9,704,CLR,10.0,60,6.0,5,53,17,37
2017,10,2,10,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,11,704,CLR,10.0,False,3.0,5,53,17,37
2017,10,2,12,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,13,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,14,704,CLR,10.0,20,6.0,5,53,17,37
2017,10,2,15,704,CLR,10.0,0,0.0,5,53,17,37
2017,10,2,16,704,CLR,10.0,False,5.0,5,53,17,37
2017,10,2,17,704,CLR,10.0,False,5.0,5,53,17,37
2017,10,2,18,704,CLR,10.0,180,3.0,5,53,17,37
2017,10,2,19,701,CLR,10.0,160,6.0,5,54,17,35
2017,10,2,20,701,CLR,10.0,170,5.0,5,54,17,35
2017,10,2,21,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,2,22,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,2,23,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,3,0,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,3,1,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,3,2,701,CLR,10.0,120,3.0,5,54,17,35
2017,10,3,3,701,CLR,10.0,20,3.0,5,54,17,35
2017,10,3,4,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,3,5,701,CLR,10.0,0,0.0,5,54,17,35
2017,10,3,6,701,CLR,9.0,False,5.0,5,54,17,35
2017,10,3,7,701,FEW,10.0,80,5.0,5,54,17,35
2017,10,3,8,701,BKN,9.0,False,5.0,5,54,17,35
2017,10,3,9,701,BKN,10.0,150,3.0,5,54,17,35
2017,10,3,10,701,BKN,10.0,False,NaN,5,54,17,35
2017,10,3,11,701,BKN,10.0,False,3.0,5,54,17,35
2017,10,3,12,701,FEW,10.0,False,3.0,5,54,17,35
